"","wright.class","HGU133Plus2"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16","NC","GSM844286"
"17","GCB","GSM844292"
"18","GCB","GSM844290"
"19","ABC","GSM844323"
"20","ABC","GSM844297"
"21","GCB","GSM844288"
"22","NC","GSM844294"
"23","ABC","GSM844303"
"24","GCB","GSM844304"
"25","ABC","GSM844287"
"26","GCB","GSM844302"
"27","GCB","GSM844301"
"28","ABC","GSM844300"
"29","ABC","GSM844282"
"30","GCB","GSM844295"
"31","ABC","GSM844281"
"32","GCB","GSM844308"
"33","ABC","GSM844244"
"34","NC","GSM844299"
"35","GCB","GSM844291"
"36","GCB","GSM844305"
"37","GCB",NA
"38",NA,"GSM844296"
"39","ABC","GSM844284"
"40","GCB","GSM844293"
"41","ABC","GSM844285"
"42","ABC","GSM844298"
"43","NC","GSM844283"
"44","GCB","GSM844289"
"45","ABC",NA
"46",NA,"GSM844306"
"47","ABC","GSM844311"
"48","ABC","GSM844242"
"49","ABC","GSM844243"
"50","ABC","GSM844317"
"51","ABC","GSM844310"
"52","GCB","GSM844331"
"53","NC","GSM844325"
"54","ABC","GSM844307"
"55","GCB",NA
"56",NA,"GSM844330"
"57","ABC","GSM844318"
"58","NC","GSM844329"
"59","GCB","GSM844328"
"60","ABC","GSM844245"
"61","GCB","GSM844246"
"62","NC","GSM844314"
"63","GCB","GSM844247"
"64","ABC","GSM844326"
"65","ABC","GSM844321"
"66","GCB","GSM844248"
"67","GCB","GSM844249"
"68","GCB","GSM844316"
"69","GCB","GSM844250"
"70","ABC","GSM844251"
"71","GCB","GSM844313"
"72","NC","GSM844252"
"73","ABC","GSM844253"
"74","GCB","GSM844254"
"75","ABC","GSM844255"
"76","ABC","GSM844319"
"77","ABC","GSM844256"
"78",NA,NA
"79","GCB","GSM844315"
"80","NC","GSM844257"
"81","ABC","GSM844322"
"82","ABC","GSM844324"
"83","ABC","GSM844258"
"84","ABC","GSM844270"
"85","GCB","GSM844259"
"86","ABC","GSM844309"
"87","ABC","GSM844320"
"88","ABC","GSM844260"
"89","GCB","GSM844261"
"90","NC","GSM844262"
"91","ABC","GSM844263"
"92","GCB","GSM844264"
"93","NC","GSM844265"
"94","ABC","GSM844266"
"95","NC","GSM844267"
"96","GCB","GSM844268"
"97","ABC","GSM844269"
"98","ABC","GSM844271"
"99","ABC","GSM844272"
"100","NC","GSM844327"
"101",NA,NA
"102","NC","GSM844312"
"103","ABC","GSM844273"
"104","ABC","GSM844274"
"105","ABC",NA
"106","NC","GSM844332"
"107","GCB","GSM844276"
"108","GCB","GSM844277"
"109","ABC","GSM844278"
"110","GCB","GSM844279"
"111","ABC","GSM844280"
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189","NC",NA
"190","GCB",NA
"191","NC",NA
"192","NC",NA
"193","ABC",NA
"194","GCB",NA
"195","GCB",NA
"196","GCB",NA
"197","GCB",NA
"198","ABC",NA
"199","GCB",NA
"200","GCB",NA
"201","NC",NA
"202","NC",NA
"203","NC",NA
"204","GCB",NA
"205","GCB",NA
"206","GCB",NA
"207","GCB",NA
"208","GCB",NA
"209","NC",NA
"210","GCB",NA
"211","GCB",NA
"212","GCB",NA
"213","NC",NA
"214","GCB",NA
"215","GCB",NA
"216","GCB",NA
"217","GCB",NA
"218","GCB",NA
"219","GCB",NA
"220","ABC",NA
"221","ABC",NA
"222","GCB",NA
"223","NC",NA
"224","GCB",NA
"225","GCB",NA
"226","GCB",NA
"227","GCB",NA
"228","GCB",NA
"229","NC",NA
"230","ABC",NA
"231","GCB",NA
"232","GCB",NA
"233","NC",NA
"234","GCB",NA
"235","NC",NA
"236","GCB",NA
"237","GCB",NA
"238","GCB",NA
"239","ABC",NA
"240","ABC",NA
"241","GCB",NA
"242","GCB",NA
"243","NC",NA
"244","ABC",NA
"245","NC",NA
"246","GCB",NA
"247","ABC",NA
"248","NC",NA
"249","GCB",NA
"250","NC",NA
"251","ABC",NA
"252","NC",NA
"253","GCB",NA
"254","NC",NA
"255","NC",NA
"256","GCB",NA
"257","GCB",NA
"258","NC",NA
"259","GCB",NA
"260","GCB",NA
"261","NC",NA
"262","NC",NA
"263","GCB",NA
"264","GCB",NA
"265","GCB",NA
"266","ABC",NA
